qty_mid,uc_p10,uc_p50,uc_p90,n
2893.0,6.66532923612728,32.72483580662268,158.8352459232257,100.0
5600.0,7.415343012730367,23.12048079380382,108.12696708559065,61.0
9046.0,4.643484780179203,21.024691281951306,100.8691633421004,99.0
14007.0,4.859287159229971,11.373420299434816,44.288615203841296,145.0
21101.0,4.274776721118863,11.182532355798713,43.3446468058094,225.0
33075.5,4.854268783644525,10.512161385968541,37.00326613441277,248.0
52490.0,5.042756118083258,10.324064100237555,39.71351657835204,264.0
82368.0,4.485779304846233,10.351528295953374,40.34697106243843,290.0
128822.0,3.572232257098527,8.94919777160487,29.140213452687192,344.0
200000.0,3.0152561509500178,7.858322470998301,24.32903335137854,336.0
305096.5,2.326603783803133,6.5842859124192,21.544940452184,352.0
495208.0,1.6420289453551993,5.060153386317615,15.997539943658085,398.0
781134.0,1.5274812322854692,4.156316799477268,13.523155514932784,423.0
1205674.0,1.2002431186182323,3.5790474307827425,10.547774685859345,488.0
1828204.0,0.9870612075496809,2.668445811959293,8.48813930465619,399.0
2856369.5,0.8153419261526704,2.53311010152122,7.492327482066691,248.0
4643761.0,0.5913422933346438,2.2910138880547986,5.824901527511529,129.0
7725973.0,0.450008952817071,1.273056839727187,6.733541399387973,117.0
