title,source,reservoir_name,country,annual_sedimentation_rate,sand_fraction
"Assessment of reservoir sedimentation using remote sensing and recommendations for desilting Patratu Reservoir, India",Hydrological Sciences Journal,Patratu Reservoir,India,0.27%,
Reservoir Sedimentation Assessment Through Remote Sensing and Hydrological Modelling,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,Jayakwadi Reservoir,India,0.26%,
Reservoir Sedimentation Assessment Through Remote Sensing and Hydrological Modelling,Journal of the Indian Society of Remote Sensin,Jayakwadi reservoir,India,0.26%,
"Gauging of Sedimentation in Idukki Reservoir, Kerala (1974-2019), and the Impact of 2018 Kerala Floods on the Reservoir",JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,Idukki Reservoir,India,0.26%,
"Assessment of Reservoir Sedimentation using RS and GIS techniques - A case study of Kabini Reservoir, Karnataka, India",International Research Journal of Engineering and Technology,Kabini Reservoir,India,0.13%,
Estimation of Sedimentation Rate of a Reservoir using Remote Sensing Data: a case study of Tehri Reservoir,International Journal of Latest Trends in Engineering and Technology,Tehri Reservoir,India,0.04%,
"Comparison between multi RUSLE-SDR models for estimation of reservoir sedimentation: a case study of Dokan Lake Basin, Iraq-Iran",ENVIRONMENTAL EARTH SCIENCES,Dokan Lake,Iraq,0.05%,
A USLE-based model with modified LS-factor combined with sediment delivery module for Alpine basins,CATENA,Rio di Pusteria Reservoir,Italy,7.65%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Rendina,Italy,4.61%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cixerri,Italy,3.68%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Tavo,Italy,2.86%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Guardialfiera,Italy,2.59%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Farneto del Princ.,Italy,2.30%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Disueri,Italy,2.16%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cogliandrino,Italy,2.13%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Ariamacina,Italy,2.02%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Colombara,Italy,1.75%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Fusino,Italy,1.65%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Vodo,Italy,1.45%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Tavernelle,Italy,1.36%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Valle di Cadore,Italy,1.36%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Flumineddu,Italy,1.35%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Garcia,Italy,1.20%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Quarto,Italy,1.19%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,San Lazzaro,Italy,1.17%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Monte Pranu,Italy,1.15%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Ceppo Morelli,Italy,1.14%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Gammauta,Italy,1.14%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Occhito,Italy,1.11%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,La Penna,Italy,1.00%,
