title,source,reservoir_name,country,annual_sedimentation_rate,sand_fraction
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Scanzano,Italy,0.30%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",P. Albanesi,Italy,0.30%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Mignano,Italy,0.29%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",P.del Leone,Italy,0.29%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Piano della Rocca,Italy,0.29%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Gangheri,Italy,0.28%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Pergusa,Italy,0.26%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Talvacchia,Italy,0.26%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Paceco,Italy,0.25%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Nicoletti,Italy,0.24%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Bunnari Alta,Italy,0.23%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cecita,Italy,0.23%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Tistino,Italy,0.23%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Santa Caterina,Italy,0.22%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Prizzi,Italy,0.22%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Ogliastro,Italy,0.21%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Rubino,Italy,0.21%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Scandarella,Italy,0.20%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Prizzi,Italy,0.20%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Marsico Nuovo,Italy,0.20%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Fanaco,Italy,0.19%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Mis,Italy,0.19%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Corlo,Italy,0.19%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Pantano di Pign.,Italy,0.18%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Camastra,Italy,0.17%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Baratz,Italy,0.15%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Votturino,Italy,0.15%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Capacciotti,Italy,0.14%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Bidighinzu,Italy,0.13%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Chiotas,Italy,0.13%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,San Domenico,Italy,0.12%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Senaiga,Italy,0.12%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Sos Canales,Italy,0.12%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Gusana,Italy,0.11%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Simbirizzi,Italy,0.11%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Monteleone,Italy,0.10%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Cavia,Italy,0.10%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Corongiu ?,Italy,0.10%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Omodeo,Italy,0.09%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Malciaussia,Italy,0.09%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cuga,Italy,0.09%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Torrei,Italy,0.08%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Coghinas,Italy,0.08%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Campliccioli,Italy,0.08%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",San Giuliano,Italy,0.07%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Casteldoria,Italy,0.07%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Rochemolles,Italy,0.07%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Mulargia,Italy,0.07%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Bosa,Italy,0.07%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Pattada,Italy,0.06%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Monteponi,Italy,0.06%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Govossai,Italy,0.06%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Sant'Angelo,Italy,0.05%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Ancipa,Italy,0.05%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Bau Pressiu,Italy,0.04%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Arvo,Italy,0.04%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Gorgo,Italy,0.03%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",M. Flumendosa,Italy,0.03%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Ponte Cola,Italy,0.03%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Punta Gennarta,Italy,0.03%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Leni,Italy,0.03%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Ampollino,Italy,0.03%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Med. Zirimilis,Italy,0.02%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Montagn Spaccata,Italy,0.02%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Del Passante,Italy,0.02%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Carmine,Italy,0.02%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Posada,Italy,0.02%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Scanno,Italy,0.01%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Campotosto,Italy,0.01%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",B. Muggeris,Italy,0.01%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Sangro,Italy,0.01%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Lentini,Italy,0.01%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Barrea,Italy,0.00%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cast.S. Vincenzo,Italy,0.00%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Monticchio G.,Italy,0.00%,
Qualitative simulation of bathymetric changes due to reservoir sedimentation: A Japanese case study,PLoS ONE,Sakuma Dam,Japan ,0.59%,
"Drivers, Impacts and Mitigation of Increased Sedimentation in the Hydropower Reservoirs of East Africa",Land,,Kenya,1.45%,
"Assessment of Sedimentation Status of Ruiru Reservoir, Central Kenya",American Journal of Water Resources,Ruiru Reservoir,Kenya,0.17%,
"Sediment related impacts of climate change and reservoir development in the Lower Mekong River Basin: a case study of the Nam Ou Basin, Lao PDR",Climatic Change,Mekong River Basin,Lao PDR,0.25% ,
"Calculation of reservoir capacity loss due to sediment deposition in the `Muela reservoir, Northern Lesotho",INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH,`Muela Reservoir,Lesotho,1.22%,
"Dam Siltation in the Mediterranean Region Under Climate Change: A Case Study of Ahmed El Hansali Dam, Morocco",WATER,Ahmed El Hansali,Morocco,0.64%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Morocco,0.32%,
The Impact of Suspended Sediment Load on Reservoir Siltation and Energy Production: a Case Study of the Indus River and Its Tributaries,Pol. J. Environ. Stud.,Tarbela Reservoir,Pakistan,0.83%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Pakistan,0.54%,
Sediments deposition due to soil erosion in the watershed region of Mangla Dam,ENVIRONMENTAL MONITORING AND ASSESSMENT,Mangla dam,Pakistan,0.48%,
Modeling and Monitoring of Drawdown Flushing and Dredging Toward Sustainable Sluicing in a Wide Philippine Reservoir,Water,Pulangi IV hydropower plant,Philippines,2.24%,
Estimating the annual sediment yield of a small agricultural catchment in central Poland,EROSION AND SEDIMENT YIELDS IN THE CHANGING ENVIRONMENT,???????????,Poland,0.45%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Poland,0.38%,
Sedimentation assessment and effects in Venda Nova dam reservoir (Portugal),SCIENCE OF THE TOTAL ENVIRONMENT,Amiar?Venda Nova Reservoir?,Portugal,1.66%,78.20%
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Republic of Korea,0.44%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Pite?ti,Romania,14.17%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Bascov,Romania,13.29%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Govora,Romania,9.00%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Curtea de Arge?,Romania,6.77%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Cerbureni,Romania,6.18%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,R. V?lcea,Romania,5.63%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Galbeni,Romania,4.97%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,D?e?ti,Romania,4.89%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,G?iceana,Romania,3.77%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Antohe?ti,Romania,3.72%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Fitiche?ti,Romania,3.29%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Oie?ti,Romania,3.22%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Pod Iloaiei,Romania,2.94%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Pucioasa,Romania,2.58%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Pu?ca?i,Romania,2.49%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Racova,Romania,2.4%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Cuibul Vulturilor,Romania,2.33%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Pîng?ra?i,Romania,2.09%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Belci,Romania,1.85%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Zigoneni,Romania,1.82%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Aroneanu,Romania,1.82%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Bucecea,Romania,1.79%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Rîureni,Romania,1.75%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,B?beni,Romania,1.66%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Rîpa Albastr?,Romania,1.51%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Gîrleni,Romania,1.49%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Bîtca Doamnei,Romania,1.13%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Ez?reni,Romania,1.13%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Budeasa,Romania,1.04%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Bac?u,Romania,0.92%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Vîlcele,Romania,0.77%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Vaduri,Romania,0.71%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Str?je?ti,Romania,0.64%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Lilieci,Romania,0.63%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Cucuteni,Romania,0.54%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,S?cele,Romania,0.50%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Piatra N.,Romania,0.43%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Ciube?ti,Romania,0.43%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Ione?ti,Romania,0.42%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Zavideni,Romania,0.36%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Golesti,Romania,0.33%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Stanca,Romania,0.31%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Surduc,Romania,0.27%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Poiana Uzului,Romania,0.26%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Paltinu,Romania,0.24%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Dragasani,Romania,0.21%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Cinci?,Romania,0.17%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Solesti,Romania,0.10%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Lesu,Romania,0.06%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Iz. Muntelui,Romania,0.05%,
"Dams, sediment sources and reservoir silting in Romania",Geomorphology,Vidraru,Romania,0.04%,
Exploring soil erosion and reservoir sedimentation through the RUSLE model and bathymetric survey,INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH,Iron Gates I Reservoir,Romania,0.04%,
Reservoir Sedimentation as a Consequence of Land Use in the Catchment,REVISTA DE CHIMIE,Velika Dicina,Serbia,0.12%,
A Joint Sedimentation-Flood Retention Assessment of a Small Water Reservoir in Slovakia: A New Hope for Old Reservoirs?,Geosciences,,Slovakia ,0.23%,
Modelling the impact of climate change on sediment yield in a highly erodible Mediterranean catchment,JOURNAL OF SOILS AND SEDIMENTS,Barasona,Spain,0.53%,5.57%
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Spain,0.52%,
Use of Drones for the Topo-Bathymetric Monitoring of the Reservoirs of the Segura River Basin,Water,Cárcabo,Spain,0.49%,
Use of Drones for the Topo-Bathymetric Monitoring of the Reservoirs of the Segura River Basin,Water,Puentes,Spain,0.45%,
Use of Drones for the Topo-Bathymetric Monitoring of the Reservoirs of the Segura River Basin,Water,Valdeinfierno,Spain,0.34%,
Reservoir sedimentation impact downstream in a semi-arid basin with greenhouses cultivation,NINTH INTERNATIONAL CONFERENCE ON FLUVIAL HYDRAULICS (RIVER FLOW 2018),Beninar,Spain,0.31%,
Use of Drones for the Topo-Bathymetric Monitoring of the Reservoirs of the Segura River Basin,Water,Alfonso XIII,Spain,0.31%,
Use of Drones for the Topo-Bathymetric Monitoring of the Reservoirs of the Segura River Basin,Water,Santomera,Spain,0.30%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Spain,0.17%,
Controlling Sedimentation through Regulating the River by Thalpitigala Reservoir Project,"RIVER BASIN DISASTER RESILIENCE AND SUSTAINABILITY BY ALL, ICFM 9, 2023",Thalpitigala Reservoir,Sri Lanka ,2.29%,
"Drivers, Impacts and Mitigation of Increased Sedimentation in the Hydropower Reservoirs of East Africa",Land,,Sudan,2.66%,
"Evaluating the impacts of sedimentation and water balance computations on reservoir operation, a case study of Girba Dam-Atbara River",Nile Basin Water Sci. Eng. J,Girba Reservoir,Sudan,1.33%,
Multidecadal Sediment Balance Modelling of a Cascade of Alpine Reservoirs and Perspectives Based on Climate Warming,Water,Räterichsboden,Switzerland,0.10%,
