log_qty_mid,qty_mid,uc_p10,uc_p50,uc_p90,n
3.461347785016379,2893.0,6.903879410764324,37.605282804379385,158.6303094849198,100
3.7481880270062002,5600.0,8.146830778758321,23.13992004568818,113.58210218978104,61
3.9564565834098997,9046.0,4.7398523131102,21.312062883435583,94.74530086632251,99
4.146345128650468,14007.0,4.869901954936374,11.995203160270881,45.31758003686512,145
4.3243030374868345,21101.0,4.295129658901034,11.492927593852741,46.19489362275059,225
4.519447327297003,33071.0,4.890315557915497,10.534525277435264,37.98409103216723,251
4.720076572689327,52490.0,5.056141235746337,10.424558135745848,39.17969048369295,264
4.915732157029495,82363.0,4.519352720147285,10.353941804098925,42.611734998421156,291
5.109952951807299,128811.0,3.59325037134732,8.999935890850063,29.679900161278034,343
5.3002693145303565,199650.0,3.047149380185323,8.080083967799505,24.84354946175889,335
5.484069103617877,304838.0,2.4806126997212994,6.6908148331961455,21.526556942022495,357
5.694220007819608,494561.5,1.6717586679636616,5.123462312578098,15.999407135365002,400
5.892094602690481,780000.0,1.548556957697717,4.288915417770258,14.020372832283567,425
6.079542279570375,1200998.0,1.2716001142160949,3.628693182075259,10.615352525344903,494
6.259626579763487,1818137.0,1.025638479638205,2.855465375219657,9.521164128496437,404
6.453351981274338,2840220.0,0.8272909017553897,2.5204506566412084,7.4411116951757315,255
6.666869859849446,4643761.0,0.6035552637723124,2.2923634015748195,5.835442794935519,129
6.884801348156454,7670206.0,0.45003997781046545,1.2969658803211184,7.669348219370126,120
